综合频道,#genre#
CCTV8,http://61.53.133.120:808/hls/16/index.m3u8
CCTV8,http://110.72.72.90:808/hls/40/index.m3u8
CCTV8,http://60.220.167.177:8085/rtp/226.0.2.211:9600
CCTV9,http://61.53.133.120:808/hls/17/index.m3u8
CCTV9,http://125.83.127.67:5555/rtp/235.254.198.58:1508
CCTV9,http://111.225.95.230:8800/hls/9/index.m3u8
CCTV9,http://110.72.79.123:808/hls/119/index.m3u8
CCTV9,http://60.220.167.177:8085/rtp/226.0.2.161:9200
CCTV9,http://111.225.95.144:8800/hls/9/index.m3u8
CCTV9,http://60.220.167.177:8085/rtp/226.0.2.26:8120
CCTV9,http://112.66.142.147:8888/rtp/239.253.64.242:5140
CCTV9,http://112.66.142.147:8888/rtp/239.253.64.76:5140
CCTV9,http://110.72.72.90:808/hls/119/index.m3u8
CCTV9,http://61.53.133.120:808/hls/18/index.m3u8
CCTV9,http://125.83.127.67:5555/rtp/235.254.198.5:1296
CCTV10,http://61.53.133.120:808/hls/20/index.m3u8
CCTV10,http://111.225.95.144:8800/hls/10/index.m3u8
CCTV10,http://60.220.167.177:8085/rtp/226.0.2.27:8128
CCTV10,http://112.66.142.147:8888/rtp/239.253.64.18:5140
CCTV10,http://112.66.142.147:8888/rtp/239.253.64.87:5140
CCTV10,http://110.72.79.123:808/hls/99/index.m3u8
CCTV10,http://125.83.127.67:5555/rtp/235.254.198.6:1300
CCTV10,http://60.220.167.177:8085/rtp/226.0.2.162:9208
CCTV10,http://61.53.133.120:808/hls/19/index.m3u8
CCTV10,http://125.83.127.67:5555/rtp/235.254.198.59:1512
CCTV10,http://110.72.72.90:808/hls/99/index.m3u8
CCTV10,http://111.225.95.230:8800/hls/10/index.m3u8
CCTV11,http://61.53.133.120:808/hls/21/index.m3u8
CCTV11,http://61.53.133.120:808/hls/22/index.m3u8
CCTV11,http://110.72.72.90:808/hls/100/index.m3u8
CCTV11,http://112.66.142.147:8888/rtp/239.253.64.70:5140
CCTV11,http://112.66.142.147:8888/rtp/239.253.64.19:5140
CCTV11,http://111.225.95.144:8800/hls/11/index.m3u8
CCTV11,http://111.225.95.230:8800/hls/11/index.m3u8
CCTV11,http://60.220.167.177:8085/rtp/226.0.2.28:8136
CCTV11,http://110.72.79.123:808/hls/100/index.m3u8
CCTV11,http://125.83.127.67:5555/rtp/235.254.198.7:1304
CCTV12,http://110.72.72.90:808/hls/101/index.m3u8
CCTV12,http://125.83.127.67:5555/rtp/235.254.198.60:1516
CCTV12,http://111.225.95.144:8800/hls/12/index.m3u8
CCTV12,http://112.66.142.147:8888/rtp/239.253.64.20:5140
CCTV12,http://112.66.142.147:8888/rtp/239.253.64.97:5140
CCTV12,http://110.72.79.123:808/hls/101/index.m3u8
CCTV12,http://60.220.167.177:8085/rtp/226.0.2.29:8144
CCTV12,http://125.83.127.67:5555/rtp/235.254.198.8:1308
CCTV12,http://60.220.167.177:8085/rtp/226.0.2.164:9224
CCTV12,http://61.53.133.120:808/hls/24/index.m3u8
CCTV12,http://111.225.95.230:8800/hls/12/index.m3u8
CCTV12,http://61.53.133.120:808/hls/23/index.m3u8
CCTV13,http://61.53.133.120:808/hls/26/index.m3u8
CCTV13,http://61.53.133.120:808/hls/25/index.m3u8
CCTV13,http://112.66.142.147:8888/rtp/239.253.64.59:5140
